,regno,name,account_year,account_type,fys,fye,rpi_fye,income,expend,assets,income_rpi,expend_rpi,assets_rpi,employees,strata_code,strata,ICNPO,Region,LA,AOB,WhyExclude,gc_exclusion,in_sample,assets_source
117811,1124955,The Glacier Trust,2013-14,current,2012-04-06,2013-04-05,2013-04-01,23574.0,11983.0,,23574.0,11983.0,,,2.1,10k to 25k,Employment and training,South West,Wiltshire,Overseas,0,0,,
112966,1118176,Crossroads Retreats,2013-14,current,2013-03-01,2014-02-28,2014-03-01,23462.0,29133.0,,23545.035,29236.10539,,,2.1,10k to 25k,Employment and training,East of England,St Albans,National,0,0,,
135286,1151371,St. Helens Autism Support,2013-14,current,2013-01-01,2014-01-31,2014-02-01,23276.0,10003.0,,23422.85174,10066.11041,,,2.1,10k to 25k,Employment and training,North West,St. Helens,Local,0,0,,
133980,1149633,The Bristol Melting Pot,2013-14,current,2013-01-01,2013-12-31,2014-01-01,23226.0,28179.0,,23530.27074,28548.15721,,,2.1,10k to 25k,Employment and training,South West,"Bristol, City of",National,0,0,,
137010,1153592,Boiler and Engineering Skills Training Trust,2013-14,current,2013-04-01,2014-03-31,2014-04-01,23147.0,17364.0,,23147.0,17364.0,,,2.1,10k to 25k,Employment and training,London,Lambeth,National,0,0,,
74272,1052387,Retrace,2013-14,current,2013-04-01,2014-03-31,2014-04-01,23139.0,17376.0,,23139.0,17376.0,,,2.1,10k to 25k,Employment and training,East Midlands,Mansfield,Local,0,0,,
22834,281830,Reading Retirement Centre (F I R T R E E ),2013-14,current,2013-03-31,2014-03-31,2014-04-01,23110.0,10567.0,,23110.0,10567.0,,,2.1,10k to 25k,Employment and training,South East,West Berkshire,Local,0,0,,
92425,1087686,Feildes Fun,2013-14,current,2013-04-01,2014-03-31,2014-04-01,23030.0,15783.0,,23030.0,15783.0,,,2.1,10k to 25k,Employment and training,East of England,Epping Forest,Local,0,0,,
100920,1101187,Buckfastleigh Community Development Project (Trust),2013-14,current,2013-04-01,2014-03-31,2014-04-01,22905.0,20094.0,,22905.0,20094.0,,,2.1,10k to 25k,Employment and training,South West,Teignbridge,Local,0,0,,
49980,529189,Shomrei Mitzvos - Pearls,2013-14,current,2013-01-01,2013-12-31,2014-01-01,22719.0,34970.0,,23016.62882,35428.12227,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Leeds,Local,0,0,,
29112,297560,Stoke Park Trust,2013-14,current,2013-01-01,2013-12-31,2014-01-01,22630.0,28298.0,,22926.46288,28668.71616,,,2.1,10k to 25k,Employment and training,South East,Slough,Local,0,0,,
121430,1131130,King Edward VI Aston School Parents' Association,2013-14,current,2012-09-01,2013-08-31,2013-09-01,22625.0,17864.0,,22985.2707,18148.4586,,,2.1,10k to 25k,Employment and training,West Midlands,Birmingham,Local,0,0,,
119170,1126887,Hartley Wintney and District U3A,2013-14,current,2012-09-01,2013-08-31,2013-09-01,22568.0,19315.0,,22927.36306,19622.56369,,,2.1,10k to 25k,Employment and training,South East,Hart,Local,0,0,,
86798,1077837,Dukeries Community Workshop,2013-14,current,2013-04-01,2014-03-31,2014-04-01,22563.0,20264.0,,22563.0,20264.0,,,2.1,10k to 25k,Employment and training,East Midlands,Newark and Sherwood,Local,0,0,,
92248,1087423,Rainford Silver Band,2013-14,current,2013-04-01,2014-03-31,2014-04-01,22196.0,29588.0,,22196.0,29588.0,,,2.1,10k to 25k,Employment and training,North West,St. Helens,Local,0,0,,
126067,1139400,The Friends of Rhyddings Park,2013-14,current,2012-11-02,2013-11-01,2013-11-01,22153.0,17719.0,,22478.90895,17979.67714,,,2.1,10k to 25k,Employment and training,North West,Hyndburn,Local,0,0,,
129551,1144036,Gladstone Village Hall,2013-14,current,2013-01-01,2013-12-31,2014-01-01,22118.0,25652.0,,22407.75546,25988.0524,,,2.1,10k to 25k,Employment and training,North West,Cheshire West and Chester,Local,0,0,,
53598,900602,Bristol Women's Workshop,2013-14,current,2013-04-01,2014-03-31,2014-04-01,21982.0,23943.0,,21982.0,23943.0,,,2.1,10k to 25k,Employment and training,South West,"Bristol, City of",Local,0,0,,
132408,1147599,Kol Bonaich,2013-14,current,2012-10-01,2013-09-30,2013-10-01,21959.0,30190.0,,22308.66561,30670.73248,,,2.1,10k to 25k,Employment and training,London,Hackney,Local,0,0,,
136633,1153111,Friends of Thornbridge Outdoors,2013-14,current,2012-11-01,2014-03-31,2014-04-01,21783.0,3120.0,,21783.0,3120.0,,,2.1,10k to 25k,Employment and training,,,Local,0,0,,
112352,1117318,Artkidz,2013-14,current,2012-09-01,2013-08-31,2013-09-01,21745.0,21948.0,,22091.25796,22297.49045,,,2.1,10k to 25k,Employment and training,London,Redbridge,Local,0,0,,
114425,1120249,Aspire2,2013-14,current,2013-03-01,2014-02-28,2014-03-01,21685.0,31143.0,,21761.74597,31253.21903,,,2.1,10k to 25k,Employment and training,South East,Reading,Local,0,0,,
110157,1114304,The Lotus Trust,2013-14,current,2012-10-01,2013-09-30,2013-10-01,21662.0,32367.0,,22006.93631,32882.39809,,,2.1,10k to 25k,Employment and training,East of England,Watford,National and overseas,0,0,,
133306,1148732,Timesavers,2013-14,current,2012-10-01,2013-09-30,2013-10-01,21625.0,9320.0,,21969.34713,9468.407643,,,2.1,10k to 25k,Employment and training,North West,West Lancashire,Local,0,0,,
115314,1121494,Biddulph U3A,2013-14,current,2012-07-11,2013-07-10,2013-07-01,21562.0,23831.0,,22098.88514,24424.38233,,,2.1,10k to 25k,Employment and training,West Midlands,Staffordshire Moorlands,Local,0,0,,
50739,701072,Broxtowe Borough Play Forum,2013-14,current,2013-04-01,2014-03-31,2014-04-01,21389.0,24913.0,,21389.0,24913.0,,,2.1,10k to 25k,Employment and training,East Midlands,Broxtowe,Local,0,0,,
100006,1099801,The Lanchester Partnership,2013-14,current,2013-04-01,2014-03-31,2014-04-01,21341.0,34681.0,,21341.0,34681.0,,,2.1,10k to 25k,Employment and training,North East,County Durham,Local,0,0,,
47663,523476,Aston Cum Aughton Recreational Charity,2013-14,current,2013-01-01,2013-12-31,2014-01-01,21316.0,23754.0,,21595.24891,24065.18777,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Rotherham,Local,0,0,,
66785,1037074,Coventry 2000,2013-14,current,2013-04-01,2014-03-31,2014-04-01,21259.0,25333.0,,21259.0,25333.0,,,2.1,10k to 25k,Employment and training,London,Kensington and Chelsea,Local,0,0,,
115805,1122153,The South Leicestershire U3A,2013-14,current,2013-04-01,2014-03-31,2014-04-01,21177.0,21266.0,,21177.0,21266.0,,,2.1,10k to 25k,Employment and training,East Midlands,Harborough,Local,0,0,,
123077,1134961,Fairtunes,2013-14,current,2012-10-01,2013-09-30,2013-10-01,21018.0,17791.0,,21352.68153,18074.29618,,,2.1,10k to 25k,Employment and training,London,Hackney,Local,0,0,,
101508,1102011,Ystalyfera Health and Well Being Centre - Canolfan Lles a Iechyd Ystalyfera,2013-14,current,2012-04-06,2013-04-05,2013-04-01,20989.0,72778.0,,20989.0,72778.0,,,2.1,10k to 25k,Employment and training,Wales,Neath Port Talbot,Local,0,0,,
134090,1149783,Pos+ability,2013-14,current,2013-04-01,2014-03-31,2014-04-01,20620.0,27223.0,,20620.0,27223.0,,,2.1,10k to 25k,Employment and training,East of England,East Cambridgeshire,Local,0,0,,
107869,1111113,Connect India,2013-14,current,2013-04-01,2014-03-31,2014-04-01,20526.0,16380.0,,20526.0,16380.0,,,2.1,10k to 25k,Employment and training,East of England,Hertsmere,Overseas,0,0,,
20806,276967,The Interlock Charitable Trust,2013-14,current,2013-04-01,2014-03-31,2014-04-01,20379.0,20076.0,,20379.0,20076.0,,,2.1,10k to 25k,Employment and training,South West,Mid Devon,Local,0,0,,
45193,519249,The Dewar Charitable Trust,2013-14,current,2012-04-06,2013-04-05,2013-04-01,20284.0,11025.0,667084.0,20284.0,11025.0,667084.0,0.0,2.1,10k to 25k,Employment and training,North West,Bury,Local,0,0,63561.0,sample
40637,508040,Sutton Coldfield Stroke Club,2013-14,current,2013-04-01,2014-03-31,2014-04-01,20004.0,16948.0,,20004.0,16948.0,,,2.1,10k to 25k,Employment and training,West Midlands,Birmingham,Local,0,0,,
79567,1063621,Pimento,2013-14,current,2013-04-01,2014-03-31,2014-04-01,19648.0,17349.0,,19648.0,17349.0,,,2.1,10k to 25k,Employment and training,London,Kensington and Chelsea,Local,0,0,,
43459,515090,The Welsh Ploughing Association,2013-14,current,2013-01-01,2013-12-31,2014-01-01,19619.0,17301.0,,19876.01747,17527.65066,,,2.1,10k to 25k,Employment and training,Wales,Pembrokeshire,Local,0,0,,
134340,1150121,Friends of Pickering Park,2013-14,current,2013-04-01,2014-03-31,2014-04-01,19570.0,30052.0,,19570.0,30052.0,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,"Kingston upon Hull, City of",Local,0,0,,
132733,1148021,Priestley Education & Training Trust,2013-14,current,2012-08-01,2013-07-31,2013-08-01,19547.0,2634.0,,19929.66201,2685.564523,,,2.1,10k to 25k,Employment and training,North West,Warrington,Local,0,0,,
124926,1137765,Brecon Molo Community Partnership,2013-14,current,2013-01-01,2013-12-31,2014-01-01,19512.0,15057.0,,19767.61572,15254.25328,,,2.1,10k to 25k,Employment and training,Wales,Powys,National,0,0,,
25696,288990,The Captains Fund London Division Naval Reserve,2013-14,current,2013-04-01,2014-03-31,2014-04-01,19508.0,14818.0,,19508.0,14818.0,,,2.1,10k to 25k,Employment and training,London,Hammersmith and Fulham,Local,0,0,,
126795,1140418,Blaze,2013-14,current,2013-03-02,2014-03-01,2014-03-01,19371.0,21425.0,,19439.55643,21500.8258,,,2.1,10k to 25k,Employment and training,North East,Stockton-on-Tees,Local,0,0,,
49927,529010,The Fishley Educational and Apprenticing Foundation,2013-14,current,2013-04-01,2014-03-31,2014-04-01,19249.0,19254.0,,19249.0,19254.0,,,2.1,10k to 25k,Employment and training,West Midlands,Walsall,Local,0,0,,
96132,1093792,Ignite Ministries,2013-14,current,2013-01-01,2013-12-31,2014-01-01,19222.0,13252.0,,19473.81659,13425.60699,,,2.1,10k to 25k,Employment and training,West Midlands,Dudley,National and overseas,0,0,,
104849,1106845,Priors Park Neighbourhood Project Limited,2013-14,current,2012-10-01,2013-09-30,2013-10-01,19217.0,19172.0,,19523.00318,19477.28662,,,2.1,10k to 25k,Employment and training,South West,Tewkesbury,Local,0,0,,
132217,1147371,Network Community,2013-14,current,2013-03-02,2014-03-01,2014-03-01,19000.0,15000.0,,19067.24341,15053.08691,,,2.1,10k to 25k,Employment and training,London,Camden,National and overseas,0,0,,
85764,1076113,Tamworth Third Age,2013-14,current,2013-01-01,2013-12-31,2014-01-01,18986.0,17724.0,,19234.72489,17956.19214,,,2.1,10k to 25k,Employment and training,West Midlands,Tamworth,Local,0,0,,
90532,1084481,Yarm Fellowship Committee,2013-14,current,2012-08-01,2013-07-31,2013-08-01,18958.0,19142.0,,19329.13144,19516.73352,,,2.1,10k to 25k,Employment and training,North East,Stockton-on-Tees,Local,0,0,,
113850,1119401,The Stained Glass Trust,2013-14,current,2013-04-01,2014-03-31,2014-04-01,18759.0,8718.0,,18759.0,8718.0,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,York,National,0,0,,
120408,1129088,Shilbottle Community Hall Limited,2013-14,current,2013-01-01,2013-12-31,2014-01-01,18672.0,27941.0,,18916.61135,28307.0393,,,2.1,10k to 25k,Employment and training,North East,Northumberland,Local,0,0,,
121328,1130937,We Are Music Ltd,2013-14,current,2012-06-01,2013-05-31,2013-06-01,18494.0,28573.0,,18954.49317,29284.45622,,,2.1,10k to 25k,Employment and training,East of England,Tendring,Local,0,0,,
120391,1129055,White Bridge Schools Association,2013-14,current,2013-03-01,2014-02-28,2014-03-01,18329.0,7672.0,,18393.86866,7699.152182,,,2.1,10k to 25k,Employment and training,East of England,Epping Forest,Local,0,0,,
128341,1142468,Stepping Up Limited,2013-14,current,2013-01-01,2013-12-31,2014-01-01,18244.0,18244.0,,18483.00437,18483.00437,,,2.1,10k to 25k,Employment and training,London,Southwark,Local,0,0,,
127751,1141702,Holy Trinity School Community,2013-14,current,2012-09-01,2013-08-31,2013-09-01,18166.0,15946.0,,18455.26752,16199.9172,,,2.1,10k to 25k,Employment and training,South East,Guildford,Local,0,0,,
128492,1142663,Flex-UK,2013-14,current,2012-07-01,2013-06-30,2013-07-01,18126.0,18339.0,,18577.33012,18795.63373,,,2.1,10k to 25k,Employment and training,London,Waltham Forest,Local,0,0,,
81342,1068144,Inter-Face Project,2013-14,current,2013-01-01,2013-12-31,2014-01-01,18041.0,21992.0,,18277.34498,22280.1048,,,2.1,10k to 25k,Employment and training,North East,Gateshead,Local,0,0,,
119859,1128057,Stacey Bushes Meeting Place Limited,2013-14,current,2013-04-01,2014-03-31,2014-04-01,18035.0,22992.0,,18035.0,22992.0,,,2.1,10k to 25k,Employment and training,South East,Milton Keynes,Local,0,0,,
135907,1152184,Club 50+,2013-14,current,2013-04-01,2014-03-31,2014-04-01,17893.0,16035.0,,17893.0,16035.0,,,2.1,10k to 25k,Employment and training,East of England,Southend-on-Sea,Local,0,0,,
67135,1037768,Aviation for Paraplegics and Tetraplegics Charitable Trust,2013-14,current,2013-04-01,2014-03-31,2014-04-01,17428.0,13300.0,,17428.0,13300.0,,,2.1,10k to 25k,Employment and training,South East,East Hampshire,Local,0,0,,
129468,1143926,Moss Side Community Forum,2013-14,current,2012-04-02,2013-04-01,2013-04-01,17357.0,13253.0,,17357.0,13253.0,,,2.1,10k to 25k,Employment and training,North West,South Ribble,Local,0,0,,
104205,1105904,100 Black Men of London,2013-14,current,2013-04-01,2014-03-31,2014-04-01,17262.0,24018.0,,17262.0,24018.0,,,2.1,10k to 25k,Employment and training,London,Barnet,Local,0,0,,
35170,309734,Isham Charity,2013-14,current,2013-01-01,2013-12-31,2014-01-01,17245.0,4699.0,,17470.91703,4760.558952,,,2.1,10k to 25k,Employment and training,East Midlands,Kettering,Local,0,0,,
123437,1135559,The Friends of the Globe Lancing,2013-14,current,2012-09-02,2013-09-01,2013-09-01,17218.0,9350.0,,17492.17197,9498.88535,,,2.1,10k to 25k,Employment and training,South East,Adur,Local,0,0,,
122616,1133623,Hartshill Parish Plan Project,2013-14,current,2012-07-01,2013-06-30,2013-07-01,17196.0,45440.0,,17624.17349,46571.43775,,,2.1,10k to 25k,Employment and training,West Midlands,North Warwickshire,Local,0,0,,
129123,1143478,Friends of St. Mary's,2013-14,current,2012-09-01,2013-08-31,2013-09-01,17091.0,14430.0,,17363.14968,14659.77707,,,2.1,10k to 25k,Employment and training,East of England,North Hertfordshire,Local,0,0,,
117123,1123964,The Riva Club/Project Ltd,2013-14,current,2012-07-01,2013-06-30,2013-07-01,17000.0,2319.0,,17423.29317,2376.742169,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Sheffield,Local,0,0,,
25564,288629,Sussex Training,2013-14,current,2012-08-01,2013-07-31,2013-08-01,16884.0,16103.0,,17214.52976,16418.24051,,,2.1,10k to 25k,Employment and training,South East,Portsmouth,Local,0,0,,
33683,305208,Leaf Hall,2013-14,current,2012-06-01,2013-05-31,2013-06-01,16716.0,13425.0,,17132.22169,13759.27711,,,2.1,10k to 25k,Employment and training,South East,Eastbourne,Local,0,0,,
29709,298899,Gretton Village Association,2013-14,current,2012-09-01,2013-08-31,2013-09-01,16679.0,16195.0,,16944.58917,16452.88217,,,2.1,10k to 25k,Employment and training,South West,Tewkesbury,Local,0,0,,
116159,1122645,Training in Autism Spectrum Conditions,2013-14,current,2013-04-01,2014-03-31,2014-04-01,16675.0,18086.0,,16675.0,18086.0,,,2.1,10k to 25k,Employment and training,Wales,Monmouthshire,National,0,0,,
92831,1088339,The Old School West Kingsdown,2013-14,current,2013-04-01,2014-03-31,2014-04-01,16590.0,10463.0,,16590.0,10463.0,,,2.1,10k to 25k,Employment and training,South East,Sevenoaks,Local,0,0,,
128499,1142672,Dobcroft Infant Parent School Association,2013-14,current,2012-09-01,2013-08-31,2013-09-01,16514.0,17627.0,,16776.96178,17907.68471,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Sheffield,Local,0,0,,
125137,1138112,Friends of St Albans Association,2013-14,current,2012-09-01,2013-08-31,2013-09-01,16338.0,15437.0,,16598.15924,15682.8121,,,2.1,10k to 25k,Employment and training,London,Havering,Local,0,0,,
92483,1087775,Langland Bay Lifeguard Club,2013-14,current,2013-01-01,2013-12-31,2014-01-01,16232.0,15493.0,,16444.64629,15695.96507,,,2.1,10k to 25k,Employment and training,Wales,Swansea,Local,0,0,,
124007,1136411,Training 4 Transition Ltd,2013-14,current,2012-05-01,2013-04-30,2013-05-01,16180.0,22674.0,,16569.56661,23219.92295,,,2.1,10k to 25k,Employment and training,East of England,Epping Forest,Local,0,0,,
97605,1096199,The Credit Union Foundation,2013-14,current,2012-10-01,2013-09-30,2013-10-01,16125.0,13699.0,,16381.76752,13917.13694,,,2.1,10k to 25k,Employment and training,North West,Manchester,National and overseas,0,0,,
62002,1026387,St Christopher (ST Kitts) and Nevis Association (Leeds),2013-14,current,2013-04-01,2014-03-31,2014-04-01,16114.0,14249.0,,16114.0,14249.0,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Leeds,Local,0,0,,
131707,1146751,Terrington Community Fund,2013-14,current,2013-04-01,2014-03-31,2014-04-01,16006.0,13890.0,,16006.0,13890.0,,,2.1,10k to 25k,Employment and training,East of England,King's Lynn and West Norfolk,Local,0,0,,
131120,1146021,Daughters of Divine Love Training and Assessment Centre (Uk),2013-14,current,2013-03-01,2014-02-28,2014-03-01,15984.0,14719.0,,16040.56941,14771.09241,,,2.1,10k to 25k,Employment and training,London,Southwark,Local,0,0,,
24255,285441,The Sceaux Gardens Tenants Association,2013-14,current,2013-01-01,2013-12-31,2014-01-01,15917.0,16012.0,,16125.51965,16221.76419,,,2.1,10k to 25k,Employment and training,London,Southwark,Local,0,0,,
124420,1136994,Chaucer Friends and Parents,2013-14,current,2012-04-02,2013-04-01,2013-04-01,15815.0,15815.0,,15815.0,15815.0,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Barnsley,Local,0,0,,
77062,1058453,Truro Christmas Prime Stock and Produce Society,2013-14,current,2013-02-01,2014-01-31,2014-02-01,15699.0,14554.0,,15798.04732,14645.82334,,,2.1,10k to 25k,Employment and training,South West,Cornwall,Local,0,0,,
97360,1095806,The Anerley Across Charity,2013-14,current,2013-04-01,2014-03-31,2014-04-01,15600.0,18900.0,,15600.0,18900.0,,,2.1,10k to 25k,Employment and training,London,Croydon,Local,0,0,,
114831,1120840,Time Out,2013-14,current,2013-01-01,2013-12-31,2014-01-01,15462.0,18931.0,,15664.55895,19179.00437,,,2.1,10k to 25k,Employment and training,South East,Canterbury,Local,0,0,,
69706,1042900,Southwark Cyprus Turkish Association,2013-14,current,2013-04-01,2014-03-31,2014-04-01,15356.0,16659.0,,15356.0,16659.0,,,2.1,10k to 25k,Employment and training,London,Southwark,Local,0,0,,
123601,1135809,The Rofft School Parents Association,2013-14,current,2012-09-01,2013-08-31,2013-09-01,15219.0,14174.0,,15461.34076,14399.70064,,,2.1,10k to 25k,Employment and training,Wales,Wrexham,Local,0,0,,
132965,1148314,St. Andrew's Residents Trust Limited,2013-14,current,2013-01-01,2013-12-31,2014-01-01,15218.0,12647.0,,15417.36245,12812.68122,,,2.1,10k to 25k,Employment and training,West Midlands,Dudley,Local,0,0,,
127513,1141392,Friends of Thorley Hill,2013-14,current,2012-09-01,2013-08-31,2013-09-01,15181.0,10306.0,,15422.73567,10470.10828,,,2.1,10k to 25k,Employment and training,East of England,East Hertfordshire,Local,0,0,,
135389,1151508,Shiec (Sustainable Hub of Innovative Employment for People with Complex Needs),2013-14,current,2013-02-01,2014-01-31,2014-02-01,15047.0,0.0,,15141.93375,0.0,,,2.1,10k to 25k,Employment and training,South East,Medway,National,0,0,,
90575,1084563,Greek Cypriot Association (Wales),2013-14,current,2013-04-01,2014-03-31,2014-04-01,15009.0,14548.0,,15009.0,14548.0,,,2.1,10k to 25k,Employment and training,Wales,Cardiff,National,0,0,,
118275,1125599,Academic Institute of Shompashi,2013-14,current,2013-04-01,2014-03-31,2014-04-01,14992.0,13076.0,,14992.0,13076.0,,,2.1,10k to 25k,Employment and training,West Midlands,Coventry,National and overseas,0,0,,
119030,1126673,The Columba Centre,2013-14,current,2013-01-01,2013-12-31,2014-01-01,14922.0,12610.0,,15117.48472,12775.19651,,,2.1,10k to 25k,Employment and training,South West,Cornwall,Local,0,0,,
121729,1131828,St Aidan's N4 Parent School Association,2013-14,current,2012-08-01,2013-07-31,2013-08-01,14787.0,11335.0,,15076.47783,11556.89972,,,2.1,10k to 25k,Employment and training,London,Haringey,Local,0,0,,
54204,1001228,Activity in Retirement - Macclesfield (Air),2013-14,current,2012-10-01,2013-09-30,2013-10-01,14744.0,16717.0,,14978.77707,16983.19427,,,2.1,10k to 25k,Employment and training,North West,Cheshire East,Local,0,0,,
99978,1099759,The Isle of Wight Stroke Club,2013-14,current,2012-11-01,2013-10-31,2013-11-01,14695.0,11659.0,,14911.18887,11830.52406,,,2.1,10k to 25k,Employment and training,South East,Isle of Wight,Local,0,0,,
127939,1141961,Link Line Community Services,2013-14,current,2012-12-01,2013-11-30,2013-12-01,14693.0,36416.0,,14832.49051,36761.72152,,,2.1,10k to 25k,Employment and training,West Midlands,Wolverhampton,Local,0,0,,
122697,1133898,Freedom Club Time Bank,2013-14,current,2013-04-01,2014-03-31,2014-04-01,14654.0,13695.0,,14654.0,13695.0,,,2.1,10k to 25k,Employment and training,East of England,Cambridge,Local,0,0,,
131181,1146103,Sandy Lane Centre,2013-14,current,2012-11-01,2013-10-31,2013-11-01,14641.0,14946.0,,14856.39443,15165.88151,,,2.1,10k to 25k,Employment and training,West Midlands,Staffordshire Moorlands,Local,0,0,,
130638,1145415,Unleashing Potential,2013-14,current,2013-02-01,2014-01-31,2014-02-01,14635.0,16093.0,,14727.33438,16194.53312,,,2.1,10k to 25k,Employment and training,East of England,Luton,National and overseas,0,0,,
26213,290253,The Eastcheap Charitable Trust,2013-14,current,2012-04-06,2013-04-05,2013-04-01,14519.0,41270.0,,14519.0,41270.0,,,2.1,10k to 25k,Employment and training,South East,Waverley,National,0,0,,
135658,1151846,Highway Hope,2013-14,current,2013-03-01,2013-12-31,2014-01-01,14455.0,13840.0,,14644.36681,14021.31004,,,2.1,10k to 25k,Employment and training,North West,Manchester,Local,0,0,,
135829,1152079,Summer Fun 4 All,2013-14,current,2013-04-01,2014-03-31,2014-04-01,14358.0,16229.0,,14358.0,16229.0,,,2.1,10k to 25k,Employment and training,North West,Blackburn with Darwen,Local,0,0,,
130017,1144623,Institute of Welfare,2013-14,current,2013-01-01,2013-12-31,2014-01-01,14308.0,12456.0,,14495.44105,12619.17904,,,2.1,10k to 25k,Employment and training,London,Waltham Forest,National and overseas,0,0,,
80825,1066924,Wolverton Employment Project Ltd,2013-14,current,2013-04-01,2014-03-31,2014-04-01,14307.0,10885.0,,14307.0,10885.0,,,2.1,10k to 25k,Employment and training,East of England,Bedford,National,0,0,,
126196,1139600,Sikh Welfare Awarness Team,2013-14,current,2013-01-01,2013-12-31,2014-01-01,14243.0,9878.0,,14429.58952,10007.40611,,,2.1,10k to 25k,Employment and training,London,Hillingdon,Local,0,0,,
100027,1099835,Arabic Speaking Women's Association,2013-14,current,2013-04-01,2014-03-31,2014-04-01,14214.0,14774.0,,14214.0,14774.0,,,2.1,10k to 25k,Employment and training,London,Redbridge,Local,0,0,,
